Instrument Serial Num,Reading #,Method Name,User Factor Name,Test Label,Collimation Status,Latitude,Longitude,Sample ID,Project No.,Sample Type,Operator,Notes, Units,K Concentration,K Error1s,Ca Concentration,Ca Error1s,Ti Concentration,Ti Error1s,Cr Concentration,Cr Error1s,Mn Concentration,Mn Error1s,Fe Concentration,Fe Error1s,Ni Concentration,Ni Error1s,Cu Concentration,Cu Error1s,Zn Concentration,Zn Error1s,Rb Concentration,Rb Error1s,Sr Concentration,Sr Error1s,Zr Concentration,Zr Error1s,Ag Concentration,Ag Error1s,Cd Concentration,Cd Error1s,Pb Concentration,Pb Error1s,Real Time 1,Real Time 2,Real Time 3,
801662,2,Resin04,,2,No,,,A101-C,,In Situ,,,PPM,283,11,2861,18,4,1,7,1,8,1,3,1,<LOD,4,<LOD,2,<LOD,1,13,4,325,11,<LOD,18,<LOD,4,<LOD,6,<LOD,1,20,20,20,
801662,3,Resin04,,3,No,,,A101-A,,In Situ,,,PPM,<LOD,13,349,3,3,0,21,1,5,1,<LOD,1,5,1,<LOD,2,3,0,38,3,<LOD,7,<LOD,12,<LOD,5,<LOD,7,2,0,20,20,20,
801662,4,Resin04,,4,No,,,A201-C,,In Situ,,,PPM,999,16,3941,23,3,1,6,1,11,1,3,1,<LOD,4,<LOD,2,4,0,34,4,192,9,<LOD,15,<LOD,4,<LOD,6,<LOD,2,20,20,20,
801662,5,Resin04,,5,No,,,A201-A,,In Situ,,,PPM,<LOD,13,366,3,4,0,21,1,4,1,1,0,<LOD,4,<LOD,2,3,0,39,3,<LOD,8,<LOD,10,<LOD,5,<LOD,6,2,0,20,20,20,
801662,6,Resin04,,6,No,,,A301-C,,In Situ,,,PPM,449,12,1541,13,3,1,6,1,10,1,3,1,<LOD,4,<LOD,2,3,0,<LOD,10,108,7,<LOD,13,<LOD,4,<LOD,6,<LOD,1,20,20,20,
801662,7,Resin04,,7,No,,,A301-A,,In Situ,,,PPM,<LOD,16,415,4,4,1,<LOD,2,<LOD,2,<LOD,2,<LOD,4,<LOD,2,2,0,34,4,<LOD,8,<LOD,11,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,8,Resin04,,8,No,,,A401-C,,In Situ,,,PPM,147,10,2311,16,5,1,7,1,17,1,6,1,<LOD,4,<LOD,2,1,0,<LOD,11,114,7,<LOD,15,<LOD,4,<LOD,6,<LOD,1,20,20,20,
801662,9,Resin04,,9,No,,,A401-A,,In Situ,,,PPM,<LOD,16,356,3,2,0,<LOD,2,3,1,<LOD,1,<LOD,4,<LOD,2,3,0,34,4,<LOD,9,<LOD,11,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,10,Resin04,,10,No,,,A501-C,,In Situ,,,PPM,365,11,4395,24,3,1,5,1,16,1,3,1,10,2,<LOD,2,6,1,12,4,241,10,<LOD,17,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,11,Resin04,,11,No,,,A501-A,,In Situ,,,PPM,<LOD,15,379,3,3,0,<LOD,2,2,1,4,1,<LOD,4,<LOD,2,3,0,44,4,<LOD,8,<LOD,11,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,12,Resin04,,12,No,,,A701-A,,In Situ,,,PPM,<LOD,15,378,3,5,1,<LOD,2,3,1,6,1,<LOD,4,21,1,23,1,55,4,<LOD,8,<LOD,11,<LOD,5,<LOD,6,1,0,20,20,20,
801662,13,Resin04,,13,No,,,A701-C,,In Situ,,,PPM,2071,21,5174,27,6,1,6,1,16,1,11,1,6,2,<LOD,2,218,2,30,4,286,11,<LOD,17,<LOD,4,<LOD,6,<LOD,2,20,20,20,
801662,14,Resin04,,14,No,,,B101-C,,In Situ,,,PPM,183,10,743,9,9,1,7,1,18,1,11,1,<LOD,4,<LOD,2,1097,5,<LOD,11,29,4,<LOD,12,<LOD,5,36,2,9,1,20,20,20,
801662,15,Resin04,,15,No,,,B101-A,,In Situ,,,PPM,<LOD,19,410,4,8,1,<LOD,2,3,1,19,1,<LOD,4,10,1,154,2,31,4,<LOD,7,<LOD,11,<LOD,5,10,2,11,1,20,20,20,
801662,16,Resin04,,16,No,,,B201-A,,In Situ,,,PPM,<LOD,20,922,7,17,1,3,1,7,1,44,1,<LOD,4,12,1,1113,5,2453,14,<LOD,9,<LOD,12,<LOD,5,9,2,17,1,20,20,20,
801662,17,Resin04,,17,No,,,B301-A,,In Situ,,,PPM,<LOD,14,473,4,8,1,3,1,7,1,56,1,<LOD,4,6,1,278,2,2114,12,<LOD,8,<LOD,11,<LOD,5,<LOD,7,10,1,20,20,20,
801662,18,Resin04,,18,No,,,B301-C,,In Situ,,,PPM,2087,21,3469,21,14,1,9,1,15,1,135,2,<LOD,4,7,1,793,4,317,6,132,8,<LOD,14,<LOD,5,12,2,8,1,20,20,20,
801662,19,Resin04,,19,No,,,B501-C,,In Situ,,,PPM,<LOD,19,1094,10,4,1,7,1,7,1,<LOD,2,<LOD,4,<LOD,2,12,1,<LOD,10,36,4,<LOD,11,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,20,Resin04,,20,No,,,B501-A,,In Situ,,,PPM,<LOD,17,350,3,7,1,<LOD,2,<LOD,2,<LOD,2,<LOD,4,<LOD,2,4,0,45,4,<LOD,8,<LOD,12,<LOD,5,<LOD,7,<LOD,1,20,20,20,
801662,21,Resin04,,21,No,,,B601-A,,In Situ,,,PPM,<LOD,23,478,4,38,1,<LOD,2,4,1,65,1,<LOD,4,<LOD,2,7,0,28,3,<LOD,8,<LOD,12,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,22,Resin04,,22,No,,,B601-C,,In Situ,,,PPM,2361,22,4520,25,34,1,7,1,23,1,50,1,<LOD,4,<LOD,2,54,1,40,4,199,9,<LOD,17,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,23,Resin04,,23,No,,,B701-C,,In Situ,,,PPM,377,12,9189,40,29,1,9,1,25,1,40,1,<LOD,4,<LOD,2,11,1,17,4,569,16,24,8,<LOD,4,<LOD,6,<LOD,1,20,20,20,
801662,24,Resin04,,24,No,,,B701-A,,In Situ,,,PPM,<LOD,13,407,3,6,0,4,1,7,1,6,1,<LOD,3,2,1,7,0,234,5,<LOD,8,<LOD,11,<LOD,5,<LOD,7,2,0,20,20,20,
801662,25,Resin04,,25,No,,,B801-A,,In Situ,,,PPM,<LOD,15,458,4,10,1,4,1,6,1,10,1,<LOD,3,<LOD,2,20,1,136,4,<LOD,7,<LOD,11,<LOD,5,<LOD,7,2,0,20,20,20,
801662,26,Resin04,,26,No,,,B801-C,,In Situ,,,PPM,611,13,4088,23,7,1,7,1,13,1,8,1,<LOD,4,<LOD,2,14,1,13,4,236,10,<LOD,17,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,27,Resin04,,27,No,,,B901-C,,In Situ,,,PPM,416,12,10038,42,12,1,7,1,409,2,44,1,<LOD,4,<LOD,2,13,1,<LOD,11,1227,25,<LOD,30,<LOD,4,<LOD,6,<LOD,2,20,20,20,
801662,28,Resin04,,28,No,,,B901-A,,In Situ,,,PPM,<LOD,14,412,3,5,0,5,1,8,1,8,1,<LOD,4,<LOD,2,10,1,167,4,<LOD,8,<LOD,10,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,29,Resin04,,29,No,,,B1001-A,,In Situ,,,PPM,<LOD,16,405,3,10,1,4,1,2,1,15,1,<LOD,4,<LOD,2,7,0,45,4,<LOD,9,<LOD,11,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,30,Resin04,,30,No,,,B1001-C,,In Situ,,,PPM,1466,18,3424,21,15,1,14,1,14,1,22,1,<LOD,4,<LOD,2,119,2,32,4,204,10,<LOD,17,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,31,Resin04,,31,No,,,B1101-C,,In Situ,,,PPM,560,12,2100,15,17,1,8,1,13,1,17,1,<LOD,4,<LOD,2,332,3,18,4,125,8,<LOD,15,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,32,Resin04,,32,No,,,B1101-A,,In Situ,,,PPM,<LOD,18,430,4,20,1,4,1,4,1,27,1,<LOD,4,<LOD,2,16,1,40,4,<LOD,9,<LOD,13,<LOD,5,<LOD,7,2,0,20,20,20,
801662,33,Resin04,,33,No,,,B1201-A,,In Situ,,,PPM,<LOD,18,346,3,7,1,<LOD,2,<LOD,2,11,1,<LOD,4,<LOD,2,3,0,17,3,<LOD,8,<LOD,12,<LOD,5,<LOD,7,<LOD,1,20,20,20,
801662,34,Resin04,,34,No,,,B1201-C,,In Situ,,,PPM,<LOD,22,501,7,7,1,7,1,7,1,10,1,<LOD,4,<LOD,2,8,1,<LOD,10,15,3,<LOD,11,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,35,Resin04,,35,No,,,B1301-C,,In Situ,,,PPM,2583,23,1564,13,24,1,11,1,11,1,56,1,<LOD,4,<LOD,2,188,2,81,4,106,7,<LOD,14,<LOD,4,<LOD,6,<LOD,1,20,20,20,
801662,36,Resin04,,36,No,,,B1301-A,,In Situ,,,PPM,45,8,415,4,41,1,9,1,4,1,67,1,<LOD,4,<LOD,2,61,1,38,4,<LOD,9,<LOD,12,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,37,Resin04,,37,No,,,B1401-A,,In Situ,,,PPM,<LOD,14,366,3,5,0,2,1,4,1,2,1,<LOD,4,<LOD,2,26,1,2536,14,<LOD,8,<LOD,11,<LOD,5,<LOD,7,9,1,20,20,20,
801662,38,Resin04,,38,No,,,B1401-C,,In Situ,,,PPM,1952,20,1898,15,6,1,7,1,7,1,9,1,<LOD,4,<LOD,2,103,1,301,6,59,6,<LOD,13,<LOD,5,<LOD,6,<LOD,2,20,20,20,
801662,39,Resin04,,39,No,,,C1401-C,,In Situ,,,PPM,,,,,<LOD,1394,<LOD,407,<LOD,341,<LOD,220,<LOD,285,<LOD,251,421,85,<LOD,110,350,39,<LOD,65,<LOD,14,<LOD,18,<LOD,19,1.83024,,,
801662,40,Resin04,,40,No,,,C101-C,,In Situ,,,PPM,366,11,7509,33,10,1,4,1,10,1,17,1,<LOD,4,<LOD,2,89,1,<LOD,10,352,12,<LOD,18,<LOD,4,<LOD,6,<LOD,1,20,20,20,
801662,41,Resin04,,41,No,,,C101-A,,In Situ,,,PPM,<LOD,19,419,3,24,1,<LOD,2,4,1,33,1,<LOD,4,<LOD,2,9,1,54,4,<LOD,10,<LOD,13,<LOD,5,<LOD,7,<LOD,1,20,20,20,
801662,42,Resin04,,42,No,,,C201-A,,In Situ,,,PPM,<LOD,12,440,3,4,0,3,1,7,1,10,1,<LOD,3,<LOD,2,9,0,128,4,<LOD,8,<LOD,11,<LOD,5,<LOD,6,2,0,20,20,20,
801662,43,Resin04,,43,No,,,C201-C,,In Situ,,,PPM,<LOD,32,44417,161,13,1,6,1,18,1,11,1,<LOD,5,<LOD,2,73,1,<LOD,13,1839,34,<LOD,38,<LOD,5,<LOD,6,<LOD,2,20,20,20,
801662,44,Resin04,,44,No,,,C301-C,,In Situ,,,PPM,411,11,3352,20,4,1,7,1,9,1,34,1,<LOD,4,<LOD,2,24,1,<LOD,10,170,9,<LOD,15,<LOD,4,<LOD,6,<LOD,1,20,20,20,
801662,45,Resin04,,45,No,,,C301-A,,In Situ,,,PPM,<LOD,17,377,3,6,1,<LOD,2,3,1,22,1,<LOD,4,<LOD,2,6,0,32,4,<LOD,7,<LOD,12,<LOD,5,<LOD,7,<LOD,1,20,20,20,
801662,46,Resin04,,46,No,,,C401-A,,In Situ,,,PPM,<LOD,17,437,4,20,1,13,1,6,1,69,1,71,2,93,2,19,1,49,4,<LOD,8,<LOD,11,<LOD,5,<LOD,7,<LOD,1,20,20,20,
801662,47,Resin04,,47,No,,,C401-C,,In Situ,,,PPM,994,16,7690,36,15,1,8,1,11,1,27,1,95,2,13,1,83,1,17,4,642,17,<LOD,22,<LOD,5,<LOD,6,<LOD,2,20,20,20,
801662,48,Resin04,,48,No,,,C501-C,,In Situ,,,PPM,1120,17,9705,42,10,1,11,1,9,1,15,1,152,3,18,1,69,1,17,4,802,20,<LOD,26,<LOD,5,<LOD,6,<LOD,2,20,20,20,
801662,49,Resin04,,49,No,,,C501-A,,In Situ,,,PPM,,,,,<LOD,401,155,45,<LOD,105,<LOD,71,132,32,663,39,100,19,54,13,<LOD,8,<LOD,11,<LOD,5,<LOD,6,<LOD,5,20,,,
801662,50,Resin04,,50,No,,,C501-A,,In Situ,,,PPM,<LOD,14,370,3,11,1,25,1,6,1,20,1,47,2,160,2,11,1,50,3,<LOD,8,<LOD,10,5,2,<LOD,6,<LOD,1,20,20,20,
801662,51,Resin04,,51,No,,,C601-A,,In Situ,,,PPM,<LOD,14,394,3,10,1,27,1,6,1,41,1,11,1,151,2,16,1,63,4,<LOD,8,<LOD,11,<LOD,5,<LOD,6,2,0,20,20,20,
801662,52,Resin04,,52,No,,,C601-C,,In Situ,,,PPM,831,17,32042,118,22,1,17,1,15,1,44,1,90,3,18,1,82,1,15,4,1674,32,<LOD,36,<LOD,5,<LOD,6,<LOD,2,20,20,20,
801662,53,Resin04,,53,No,,,C701-C,,In Situ,,,PPM,641,15,27587,103,19,1,10,1,28,1,86,2,17,2,3,1,25,1,18,4,1083,25,<LOD,31,<LOD,5,<LOD,6,<LOD,2,20,20,20,
801662,54,Resin04,,54,No,,,C701-A,,In Situ,,,PPM,<LOD,14,482,4,8,1,2,1,6,1,39,1,<LOD,4,6,1,8,1,86,4,10,3,<LOD,11,<LOD,5,<LOD,6,2,0,20,20,20,
801662,55,Resin04,,55,No,,,C801-A,,In Situ,,,PPM,<LOD,13,440,4,3,0,69,1,6,1,5,1,75,2,150,2,9,1,54,3,<LOD,9,<LOD,11,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,56,Resin04,,56,No,,,C801-C,,In Situ,,,PPM,227,12,28689,105,5,1,40,1,7,1,4,1,120,3,35,1,7,1,<LOD,12,1290,27,<LOD,33,<LOD,5,<LOD,6,<LOD,2,20,20,20,
801662,57,Resin04,,57,No,,,C901-C,,In Situ,,,PPM,85,10,17199,67,5,1,8,1,29,1,27,1,<LOD,5,<LOD,2,26,1,<LOD,11,619,17,<LOD,22,<LOD,5,<LOD,6,<LOD,2,20,20,20,
801662,58,Resin04,,58,No,,,C901-A,,In Situ,,,PPM,<LOD,15,439,4,6,1,<LOD,2,5,1,38,1,<LOD,4,<LOD,2,4,0,175,5,<LOD,8,<LOD,12,<LOD,5,<LOD,7,<LOD,1,20,20,20,
801662,59,Resin04,,59,No,,,C1001-A,,In Situ,,,PPM,<LOD,18,507,4,27,1,8,1,3,1,84,1,<LOD,4,<LOD,2,11,1,49,4,<LOD,9,<LOD,12,<LOD,5,<LOD,7,<LOD,1,20,20,20,
801662,60,Resin04,,60,No,,,C1001-C,,In Situ,,,PPM,500,12,7552,35,13,1,10,1,17,1,63,1,<LOD,4,<LOD,2,7,1,<LOD,11,358,12,<LOD,19,<LOD,5,<LOD,6,<LOD,2,20,20,20,
801662,61,Resin04,,61,No,,,C1101-C,,In Situ,,,PPM,387,11,4322,24,11,1,8,1,13,1,41,1,<LOD,4,<LOD,2,14,1,15,4,213,10,<LOD,17,<LOD,5,<LOD,6,<LOD,1,20,20,20,
